36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  42,  36,  36,  36,  36,  36,37,  4,4,6,35,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,
36,  36,  36,  36,  36,52,  36, 36,  36,  36,  36,  36,  36,  36,  36,  36,37,  4,6,  4,35,  36,  36,  36,  36,  36,  36,  36,  36,  36,36,  36,52,  36,  36,  36,  36,  36,  36,  36,
36,  36,  36,  36,  37,64,35,  36,  36,52,  36,  36,  36,  36, 36,  36,37,6,  4,  4,35,  36,  36,  36,  36,52,  36,  36,  36,  36,  36,  37,64,35,36,  36,  36,  36,  36,  36,
36,  36,  36,  36,36,20,36,  36,  37,64,35,  36,  36,  36,  36,  36,  36,21,6,19,36,  36,  36,36,  37,64,35,  36,  36,  36,  36,36,20,36,  36,  36,  36,  36,  36,  36,
36,  36,  36,  36,  36,  36, 36,  36,36,20,36,  36,  36, 36,  36,  36,  36,37,  4,51,36,  36,  36,  36,36,20,36,  36,36,  36,  36,  36,  36,  36,  36,  36,36,  36,  36,  36,
36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36, 36,  36,  36,52,53,6,  4,51,52,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,
36,  36,  36,  36,  36, 36,  36,  36,  36,  36,  36,  36,  36,  36, 36,53,  9,  9,20,20,  9,  9,51,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,
36,  36,  36,  36,  36,52,52,52,52,52,  36,  36, 36,  36,37,  9,25,26,  42,  42,26,  27,  9,35,  36,36,52,  36,  36,36,  36,  36,52,  36,  36,  36,  36,  36,  36,  36,
36,52,52,52,53,  4,  4,6,  4,  4,51,  36,  36,  36,  37,  9,  41,  42,  42,  42,  42,43,  9,35,36,53,  4,51,  36,  36,  36,53,4,51,  36,  36,  36,  36,  36,52,
53,  4,4,4,6,  4,6,  4,4,  4,  4,51,52,52,53,  9,41,  42,  42,  42,  42,43,  9,51,53,  4,6,4,51,52,53,4,6,4,51,52,  36,  36,53,4,
4,6,  4,6,19,20,20,20,21,  4,6,  4,6,4,  4,35,  42,  42,  42,  42,  42,42,37,  4,  4,6,6,4,4,4,6,6,4,4,4,4,51,53,6,4,
6,  4,19,20,  36,  36,  36,  36,  36,20,21,  4,  4,  4,  4,35,  42,  42,  42,  42,  42,42,37,6,4,4,19,21,4,6,4,4,19,21,4,6,4,6,6,19,
20,20,  36, 36,  36,  36,  36,  36,  36,  36,  36,20,20,20,21,  9,41,  42,  42,  42,  42,43,  9,19,20,20,  36,  36,21,4,4,19,  36,  36,20,21,4,4,19,  36,
36,  36,  36,  36,  36,  36,  36,  36,52,  36,  36,  36,  36,  36,  37,  9,41,  42,  42,  42,  42,43,  9,35,  36,  36,  36,  36,  36,20,20,  36,  36,  36,  36,  36,20,20,  36,  36,
36,  36,  36,  36,  36,  36,  36,  37,64,35,  36,  36, 36,  36,  37,  9,57,58,  42,  42,58,59,  9,35,  36,  36,  36,36,  36,  36,  36,  36,  36,  36,  36,  36,36,  36,  36,  36,
36,  36, 36,  36,52,  36, 36,36,20,36,  36, 36,  36,  36,  36,21,  9,  9,52,52,  9,  9,19,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,52,  36,  36,  36,  36,  36,
36,  36,  36,  37,64,35,  36,  36,  36,  36, 36,  36,  36,  36,  36,  36,20,21,  4,  4,19,20,  36,  36,  36,  36,  36,  36,  36,  36,  36,36,  36,  37,64,35,  36,  36,  36,  36,
36,  36,  36,36,20,36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,37,  4,6,35,  36,  36,36,  36,  36,36,  36,  36,36,  36,  36,  36,36,20,36,36,  36,  36,  36,
36,  36,  36,  36,  36,  36, 36,  36,  36,  36,  36,  36,52,  36,  36,  36,  36,53,6,  4,35,  36,  36,  36,  36,  36,  36,52,  36,36,  36,  36,  36,  36,  36,36,  36,  36,  36,  36,
36,  36,  36, 36,  36,52,  36,  36,  36,  36,  36,  37,64,35,  36,  36,37,  4,  4,19,  36,  36,  36,  36,  36,  36,  37,64,35,  36,  36,  36,  36,  36,  36,36,36,  36,  36,  36,
36,  36,  36,  36,  37,64,35,  36,  36, 36,  36,36,20,36,  36,  36,37,6,  4,51,  36,  36,  36,  36,  36,  36,36,20,36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,
36,  36, 36,  36,36,20,36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,21,  4,6,51,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,36,  36,  36,  36,  36,  36,  36,  36,  36,
36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,21,  4,  4,51,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,
